date,symbol,twitterPosts,twitterComments,twitterLikes,twitterImpressions,twitterSentiment
2021-11-18,AAPL,811.0,2592.0,21674.0,7981808.0,
2021-11-18,ABT,21.0,3.0,13.0,64089.0,
2021-11-18,AMD,150.0,675.0,2949.0,1645270.0,
2021-11-18,AMZN,557.0,1315.0,12969.0,5590695.0,
2021-11-18,ATVI,82.0,36.0,131.0,1310715.0,
2021-11-18,BA,61.0,55.0,342.0,425847.0,
2021-11-18,CRM,25.0,7183.0,29832.0,142826.0,
2021-11-18,DIS,65.0,6.0,108.0,313479.0,
2021-11-18,EBAY,29.0,1.0,2.0,84739.0,
2021-11-18,ES,54.0,308.0,1008.0,157878.0,
2021-11-18,F,171.0,7014.0,47637.0,709902.0,
2021-11-18,GILD,23.0,0.0,0.0,59785.0,
2021-11-18,GOOG,49.0,51.0,181.0,160113.0,
2021-11-18,GOOGL,102.0,279.0,1704.0,848252.0,
2021-11-18,JPM,27.0,17.0,155.0,752743.0,
2021-11-18,KEY,22.0,2.0,11.0,47110.0,
2021-11-18,MA,21.0,4.0,40.0,78938.0,
2021-11-18,META,94.0,178.0,1066.0,590535.0,
2021-11-18,MNST,32.0,23.0,84.0,147992.0,
2021-11-18,MSFT,69.0,538.0,1824.0,325190.0,
2021-11-18,NFLX,38.0,201.0,1093.0,120409.0,
2021-11-18,NKE,108.0,365.0,2109.0,1350557.0,
2021-11-18,NVDA,304.0,1375.0,13896.0,1481784.0,
2021-11-18,PFE,61.0,111.0,516.0,379761.0,
2021-11-18,T,30.0,0.0,4.0,73155.0,
2021-11-18,TSLA,933.0,27741.0,234301.0,3225410.0,
2021-11-18,V,48.0,4.0,29.0,92684.0,
2021-11-19,AAPL,2379.0,22985.0,157720.0,13544431.0,
2021-11-19,ABBV,56.0,894.0,5618.0,399935.0,
2021-11-19,ABT,84.0,18.0,43.0,105289.0,
2021-11-19,AMD,394.0,1611.0,7820.0,2459120.0,
2021-11-19,AMZN,1530.0,4281.0,28530.0,9974686.0,
2021-11-19,ATVI,180.0,121.0,830.0,1043031.0,
2021-11-19,BA,619.0,173.0,777.0,3584212.0,
